table,line,name,geosubtype,tot_est,tot_moe,adu_est,adu_moe,cvap_est,cvap_moe,prop_adu_wht_est,prop_cvap_wht_est,racial_disp_wht_est,racial_disp_wht_moe,prop_adu_his_est,prop_cvap_his_est,racial_disp_his_est,racial_disp_his_moe,prop_adu_asn_est,prop_cvap_asn_est,racial_disp_asn_est,racial_disp_asn_moe,prop_adu_blk_est,prop_cvap_blk_est,racial_disp_blk_est,racial_disp_blk_moe,prop_adu_ind_est,prop_cvap_ind_est,racial_disp_ind_est,racial_disp_ind_moe,prop_adu_pac_est,prop_cvap_pac_est,racial_disp_pac_est,racial_disp_pac_moe,prop_adu_tmr_est,prop_cvap_tmr_est,racial_disp_tmr_est,racial_disp_tmr_moe
Place,26560,Adelanto,charter,37230,49,24830,882,21450,859,0.1310914216673379,0.15011655011655012,0.019025128449212225,0.03067823963411213,0.6476037051953283,0.5988344988344988,-0.04876920636082949,0.06676745276784002,0.01751913008457511,0.016317016317016316,-0.0012021137675587955,0.013197705974584464,0.17801047120418848,0.20606060606060606,0.02805013485641758,0.04669939567788922,0.0008054772452678212,0.0009324009324009324,0.00012692368713311118,0.0022183479821125925,0.002819170358437374,0.002097902097902098,-0.0007212682605352762,0.0036651100126741313,0.022311719693918645,0.02582750582750583,0.003515786133587183,0.02117131143588191
Place,26586,Agoura Hills,general law,20360,45,15880,602,15170,571,0.7688916876574308,0.7854317732366513,0.016540085579220487,0.08991370533378581,0.11933249370277078,0.11601845748187212,-0.003314036220898667,0.04682905564408278,0.07115869017632241,0.05669083717864205,-0.014467852997680358,0.03044688871801426,0.0053526448362720405,0.005603164139749505,0.0002505193034774648,0.006115005035150121,0.0,0.0,0.0,0.002279103491872353,0.0,0.0,0.0,0.002279103491872353,0.03526448362720403,0.03625576796308504,0.0009912843358810056,0.019689231326759225
Place,26651,Alameda,charter,78320,43,61780,691,56220,862,0.4554062803496277,0.481945926716471,0.026539646366843306,0.028957559796372156,0.10853026869537068,0.10209889718961224,-0.00643137150575844,0.015187196926580382,0.3274522499190677,0.30291711134827465,-0.024535138570793036,0.026179199625681604,0.05843314988669472,0.061010316613304874,0.0025771667266101528,0.014309333878074555,0.0032372936225315637,0.0035574528637495554,0.00032015924121799174,0.0019491262975170377,0.005017805114923924,0.005336179295624333,0.00031837418070040924,0.00372902510008768,0.041922952411783745,0.0432230522945571,0.0013000998827733534,0.011111105677089797
Place,26677,Albany,charter,19960,47,14790,329,12255,476,0.4793779580797836,0.5487556099551204,0.06937765187533679,0.056316581684924136,0.10581473968897905,0.10281517747858017,-0.002999562210398876,0.026739703608110274,0.312711291413117,0.23092615259077928,-0.0817851388223377,0.048350425302694476,0.03718728870858688,0.041207670338637294,0.004020381630050411,0.017324270358255473,0.004056795131845842,0.004895960832313341,0.0008391657004674993,0.005408655144269507,0.0023664638269100743,0.0024479804161566705,8.151658924659619e-05,0.0035422565730563226,0.05848546315077755,0.0689514483884129,0.010465985237635346,0.025587554997474494
Place,26716,Alhambra,charter,83175,59,68630,717,56410,1132,0.10345330030598864,0.12178691721326006,0.01833361690727142,0.013905472801632235,0.33396473845257174,0.3556993440879277,0.021734605635355952,0.023659024851821458,0.5214192044295498,0.47429533770608046,-0.047123866723469354,0.02993938708721202,0.021127786682208948,0.02535011522779649,0.004222328545587541,0.01032740894492177,0.0034241585312545534,0.004165928026945577,0.0007417694956910236,0.003420328199571802,0.00335130409441935,0.0032795603616380072,-7.174373278134296e-05,0.0038245427129269547,0.01318665306717179,0.01542279737635171,0.00223614430917992,0.006219177950747406
Place,26742,Aliso Viejo,general law,51945,40,38535,698,34370,872,0.5928376800311406,0.622636019784696,0.029798339753555392,0.0468898001705526,0.1882704035292591,0.17718940936863545,-0.011080994160623664,0.030562845179854317,0.15751913844556897,0.13194646494035497,-0.025572673505214,0.020465317996434248,0.02452316076294278,0.027349432644748328,0.002826271881805547,0.014682082924934014,0.0020760347735824577,0.0023276112889147513,0.00025157651533229365,0.0049517887665839234,0.00010380173867912288,0.00011638056444573757,1.2578825766614688e-05,0.00015598554502414886,0.03438432593745945,0.038405586267093395,0.004021260329633944,0.013482791358999833
Place,26924,Alturas,general law,2695,21,2130,142,2095,148,0.7230046948356808,0.7279236276849642,0.004918932849283464,0.13845651976034537,0.19014084507042253,0.18138424821002386,-0.008756596860398674,0.10070187849266952,0.0,0.0,0.0,0.008703748598412818,0.03755868544600939,0.03818615751789976,0.0006274720718903726,0.022076469169153463,0.01643192488262911,0.016706443914081145,0.00027451903145203627,0.03351466227469502,0.0,0.0,0.0,0.008703748598412818,0.035211267605633804,0.03579952267303103,0.0005882550673972226,0.042987932925669214
Place,26950,Amador City,general law,185,94,155,77,150,78,0.7741935483870968,0.7666666666666667,-0.007526881720430034,0.8020297942481694,0.12903225806451613,0.13333333333333333,0.004301075268817206,0.27639288433840425,0.025806451612903226,0.02666666666666667,0.0008602150537634426,0.03363400202639709,0.0,0.0,0.0,0.1206045204006877,0.0,0.0,0.0,0.1206045204006877,0.0,0.0,0.0,0.1206045204006877,0.06451612903225806,0.06666666666666667,0.002150537634408603,0.2914448284904434
Place,26976,American Canyon,general law,21735,41,16295,350,14205,497,0.21847192390303774,0.24463217177050334,0.026160247867465597,0.038701095483390735,0.29119361767413315,0.24639211545230552,-0.04480150222182763,0.04206203165897327,0.3507210800859159,0.34882083773319256,-0.001900242352723347,0.034161926981294825,0.07609696225836146,0.08729320661738825,0.011196244359026788,0.017987660764904496,0.005216324025774778,0.00598380851812742,0.0007674844923526419,0.009062069168075823,0.008898435102792267,0.010207673354452657,0.0013092382516603895,0.01158760532945094,0.049401656949984656,0.05667018655403027,0.007268529604045615,0.019276843489370213
Place,27002,Anaheim,charter,348205,86,266690,1849,206930,2999,0.27001387378604375,0.3331078142366984,0.06309394045065464,0.015075337502592143,0.4934568225280288,0.410090368723723,-0.0833664538043058,0.017249981791018505,0.1867336608046796,0.19736142656937128,0.010627765764691682,0.012063578830014916,0.027016386066219207,0.03136326293915817,0.004346876872938964,0.00598382676578803,0.00088117289737148,0.001135649736625912,0.000254476839254432,0.0007342098057541116,0.004499606284450111,0.005533272121007104,0.0010336658365569934,0.002236735528790279,0.01737972927368855,0.02138404291306239,0.0040043136393738375,0.004011263619083652
Place,27028,Anderson,general law,11210,26,8315,281,8055,306,0.7726999398677089,0.7932960893854749,0.020596149517766005,0.08266595967493548,0.1358989777510523,0.11421477343265053,-0.021684204318401776,0.040978402199132014,0.024052916416115455,0.022967101179391682,-0.001085815236723773,0.026140302704756004,0.004209260372820205,0.004345127250155183,0.00013586687733497822,0.010200272745601027,0.04630186410102225,0.04779639975170701,0.0014945356506847612,0.03223868272994075,0.0004810583283223091,0.0004965859714463067,1.5527643123997568e-05,0.0015558180491864577,0.015634395670475046,0.016139044072004966,0.0005046484015299203,0.014886818615860043
Place,27041,Angels,general law,3690,16,3030,294,3030,294,0.8118811881188119,0.8118811881188119,0.0,0.18520902944698034,0.10891089108910891,0.10891089108910891,0.0,0.1431371571376,0.0013201320132013201,0.0013201320132013201,0.0,0.007003400431222469,0.0,0.0,0.0,0.006067582940874666,0.024752475247524754,0.024752475247524754,0.0,0.03377628780597846,0.0,0.0,0.0,0.006067582940874666,0.05115511551155116,0.05115511551155116,0.0,0.07361317843776165
Place,27080,Antioch,general law,114750,72,87210,1235,77885,1502,0.30294690975805527,0.3331193426205303,0.030172432862475007,0.02707647197386743,0.31785345717234265,0.27482827245297553,-0.043025184719367116,0.025120030063148936,0.13593624584336658,0.12614752519740643,-0.009788720645960147,0.017539524207553153,0.18214654282765738,0.20042370161135006,0.018277158783692682,0.020601383756795783,0.0032679738562091504,0.0028246774090004492,-0.0004432964472087012,0.0027522845970584667,0.009631922944616443,0.009308596006933298,-0.0003233269376831452,0.006356202756968787,0.04821694759775255,0.05328368748796302,0.0050667398902104685,0.011719233019771768
Place,27106,Apple Valley,general law,75310,64,53690,1158,50070,1355,0.5146209722480909,0.542740163770721,0.028119191522630094,0.045115150307030075,0.3454088284596759,0.31635710005991613,-0.02905172839975978,0.035317998806136654,0.036785248649655426,0.030856800479328938,-0.005928448170326488,0.014253744924780072,0.07366362451108213,0.07898941481925305,0.005325790308170916,0.018544009232497462,0.0038182156826224623,0.0040942680247653285,0.0002760523421428663,0.003471007992469462,0.0009312721177127957,0.0009986019572598363,6.732983954704059e-05,0.0015569854464941753,0.024864965542931643,0.026063511084481725,0.0011985455415500813,0.011858011015776345
Place,27158,Arcadia,charter,56695,68,44050,775,36450,1098,0.2351872871736663,0.2736625514403292,0.038475264266662895,0.036395274910013764,0.1373439273552781,0.15582990397805213,0.018485976622774042,0.034493845331640224,0.5814982973893303,0.5203017832647462,-0.061196514124584156,0.049031690499398796,0.01623155505107832,0.019478737997256516,0.003247182946178196,0.010525015230992684,0.0021566401816118046,0.0023319615912208505,0.00017532140960904588,0.003055323626938611,0.006923950056753689,0.0032921810699588477,-0.0036317689867948416,0.00690348428683873,0.020771850170261067,0.025102880658436213,0.004331030488175146,0.013948573190742712
Place,27171,Arcata,general law,19040,29,16900,356,16425,402,0.7366863905325444,0.7470319634703196,0.010345572937775271,0.05763076730592276,0.14585798816568046,0.13881278538812786,-0.007045202777552606,0.03220615415979294,0.025739644970414203,0.020395738203957382,-0.005343906766456821,0.012160647018664114,0.0242603550295858,0.0243531202435312,9.276521394540119e-05,0.01695456244362998,0.010650887573964497,0.010958904109589041,0.0003080165356245442,0.008412361273592128,0.005621301775147929,0.00578386605783866,0.00016256428269073152,0.007812971055247128,0.05118343195266272,0.05266362252663623,0.001480190573973507,0.01951456422240648
Place,27236,Arroyo Grande,general law,18420,34,14725,388,14315,447,0.734804753820034,0.7453719874257771,0.010567233605743187,0.06529166633599137,0.17147707979626486,0.16346489696122948,-0.00801218283503538,0.04041081724343202,0.042444821731748725,0.03807195249738037,-0.0043728692343683526,0.019643582380225663,0.007130730050933786,0.007334963325183374,0.00020423327424958816,0.008870782881956585,0.007809847198641765,0.008033531260915125,0.00022368406227335925,0.009455963567562288,0.003735144312393888,0.0038421236465246244,0.00010697933413073664,0.006237242990131835,0.03225806451612903,0.03318197694725812,0.0009239124311290897,0.022253691296237627
Place,27249,Artesia,general law,16390,38,13035,384,10190,563,0.1822017644802455,0.2311089303238469,0.04890716584360141,0.059630224559276086,0.3275795934023782,0.28361138370951916,-0.04396820969285903,0.06723146989070668,0.4000767165324127,0.3817468105986261,-0.01832990593378664,0.09882647323953063,0.05561948599923283,0.07114818449460256,0.015528698495369725,0.06553420012628444,0.0038358266206367474,0.004906771344455349,0.0010709447238186013,0.009471357514680853,0.02454929037207518,0.019627085377821395,-0.004922204994253786,0.0332136188388252,0.006060606060606061,0.00775269872423945,0.0016920926636333896,0.00810989527166261
Place,27275,Arvin,general law,19570,27,12430,529,7575,592,0.03298471440064361,0.05148514851485148,0.018500434114207875,0.022698806205723225,0.9456958970233307,0.9194719471947195,-0.026223949828611204,0.1241156296921239,0.013676588897827836,0.015841584158415842,0.0021649952605880055,0.011431965383733199,0.006838294448913918,0.011221122112211221,0.004382827663297303,0.013327282279002548,0.00032180209171359613,0.000528052805280528,0.0002062507135669319,0.0017011064169074198,0.0,0.0,0.0,0.0032465057269853953,0.00032180209171359613,0.000528052805280528,0.0002062507135669319,0.006647749167379794
Place,27314,Atascadero,general law,29770,29,23715,552,22855,548,0.7834703773982712,0.8009188361408882,0.017448458742617023,0.05154867979271227,0.16171199662660762,0.15029534018814264,-0.011416656438464984,0.03537723003189239,0.017710309930423784,0.01312623058411726,-0.004584079346306523,0.008946696174058357,0.0078009698503057135,0.0059068037628527675,-0.001894166087452946,0.00657435161448013,0.005270925574530887,0.005469262743382192,0.00019833716885130429,0.005714829891464936,0.0,0.0,0.0,0.0015191509650905966,0.02403542061986085,0.02450229709035222,0.00046687647049137304,0.013301055837112354
Place,27327,Atherton,general law,7180,67,5720,154,5220,197,0.6809440559440559,0.7097701149425287,0.028826058998472792,0.08424288950514092,0.0979020979020979,0.09578544061302682,-0.0021166572890710805,0.055578359381920836,0.18269230769230768,0.15517241379310345,-0.02751989389920423,0.07315321313805556,0.01048951048951049,0.011494252873563218,0.0010047423840527283,0.014273725527142721,0.0006993006993006993,0.0007662835249042146,6.698282560351528e-05,0.0012972169793125812,0.004370629370629371,0.0028735632183908046,-0.0014970661522385664,0.0059469761347680054,0.0236013986013986,0.023946360153256706,0.0003449615518581056,0.016459497192814445
Place,27340,Atwater,general law,31400,46,22520,614,18575,762,0.369449378330373,0.43391655450874833,0.06446717617837533,0.053341227720674254,0.5022202486678508,0.43095558546433377,-0.07126466320351699,0.05199202531823467,0.056172291296625224,0.05141318977119785,-0.004759101525427377,0.020608574063520124,0.044182948490230904,0.053566621803499324,0.00938367331326842,0.021431765099268422,0.0015541740674955595,0.0018842530282637954,0.00033007896076823594,0.0020954369605023716,0.0077708703374777975,0.005652759084791386,-0.0021181112526864115,0.005393069744558276,0.018827708703374777,0.02282637954239569,0.0039986708390209146,0.011633602262029384
Place,27366,Auburn,general law,13740,54,11365,336,10670,410,0.8468983721953366,0.8851921274601687,0.03829375526483214,0.07202190499248451,0.09810822701275847,0.06138706654170572,-0.03672116047105275,0.03502655291616413,0.01935767707875055,0.01499531396438613,-0.004362363114364422,0.012930483234043558,0.004839419269687638,0.005154639175257732,0.000315219905570094,0.00835947619495384,0.002199736031676199,0.0023430178069353325,0.00014328177525913368,0.0037296729507584935,0.006599208095028597,0.007029053420805998,0.00042984532577740146,0.010803538853382446,0.02199736031676199,0.023430178069353328,0.0014328177525913394,0.015209784628797898
Place,27405,Avalon,general law,3515,47,2775,270,2305,404,0.5567567567567567,0.6594360086767896,0.10267925192003291,0.2622640663865982,0.418018018018018,0.3080260303687636,-0.10999198764925444,0.1591269025842783,0.0014414414414414415,0.0017353579175704988,0.0002939164761290574,0.002839733944982009,0.0014414414414414415,0.0017353579175704988,0.0002939164761290574,0.011284622061806068,0.0,0.0,0.0,0.007331772763839752,0.0014414414414414415,0.0017353579175704988,0.0002939164761290574,0.006776073094272955,0.024864864864864864,0.029934924078091105,0.0050700592132262405,0.042132728645998443
Place,27418,Avenal,general law,13880,21,9710,563,5885,520,0.10865087538619979,0.1784197111299915,0.06976883574379171,0.07448479536818962,0.7991761071060762,0.6711979609175871,-0.12797814618848913,0.13293498708612958,0.01956745623069001,0.03143585386576041,0.011868397635070398,0.02787325834836077,0.05664263645726056,0.09345794392523364,0.03681530746797308,0.041690977688179566,0.004119464469618949,0.006796941376380629,0.0026774769067616794,0.006391050137036649,0.0025746652935118436,0.0033984706881903144,0.0008238053946784708,0.004780489840541485,0.009474768280123584,0.015632965165675448,0.006158196885551864,0.016360778594971533
Place,27470,Azusa,general law,49455,55,38790,703,32265,927,0.19953596287703015,0.23523942352394236,0.03570346064691221,0.025840914636932198,0.5902294405774684,0.5560204556020456,-0.034208984975422796,0.040904241602208645,0.15983500902294406,0.15047264838059818,-0.009362360642345885,0.026732100241178114,0.03274039700953854,0.03781187044785371,0.005071473438315169,0.01247668799218976,0.0003866976024748647,0.00046490004649000463,7.820244401513996e-05,0.0008467201531828752,0.0003866976024748647,0.00046490004649000463,7.820244401513996e-05,0.0009273356885595401,0.016756896107244134,0.019525801952580194,0.00276890584533606,0.007256912728898129
Place,27496,Bakersfield,charter,398755,165,278875,2125,241165,2778,0.35193186911698787,0.4006800323430017,0.04874816322601383,0.013000782473387363,0.47664724338861497,0.42810938569029505,-0.04853785769831992,0.015618015921718787,0.07688032272523532,0.06474820143884892,-0.012132121286386396,0.006295843511058442,0.0698700134468848,0.07890863102025585,0.009038617573371044,0.005760874402113704,0.0036396234872254594,0.003939211742997533,0.0002995882557720736,0.00147221938607118,0.00184670551322277,0.001762278937656791,-8.442657556597907e-05,0.0005989617875231726,0.019184222321828776,0.02183152613356001,0.0026473038117312345,0.003913201945212876
Place,27522,Baldwin Park,general law,72815,77,56545,727,42630,1148,0.0371385622070917,0.0482054890921886,0.011066926885096903,0.013091056843268934,0.7116455920063666,0.6931738212526389,-0.018471770753727634,0.03852000576660602,0.2309664868688655,0.23269997654234106,0.0017334896734755578,0.030177818893559052,0.008930939959324431,0.011494252873563218,0.002563312914238787,0.005055670287970385,0.0024759041471394466,0.003284072249589491,0.0008081681024500443,0.0033209581419846026,0.005040233442391016,0.006098991320666197,0.0010587578782751813,0.005199792963414463,0.00371385622070917,0.0049261083743842365,0.0012122521536750666,0.0032052211598125077
Place,27574,Banning,general law,29665,60,22625,581,19700,774,0.4282872928176796,0.4766497461928934,0.04836245337521383,0.0572814957025346,0.430939226519337,0.38147208121827414,-0.04946714530106289,0.060248817740130155,0.05569060773480663,0.048477157360406094,-0.007213450374400535,0.01861521951519011,0.057458563535911604,0.06370558375634518,0.006247020220433573,0.019795086801881898,0.0030939226519337017,0.003553299492385787,0.00045937684045208515,0.0035708982948061893,0.00017679558011049723,0.0002030456852791878,2.6250105168690584e-05,0.0007404365084453514,0.024265193370165746,0.025837563451776648,0.001572370081610902,0.012051362002640516
Place,27587,Barstow,general law,25125,71,16690,633,15505,679,0.2756141402037148,0.29151886488229606,0.015904724678581283,0.05791405700275771,0.4853205512282804,0.4575943244114802,-0.027726226816800204,0.08159740595659142,0.0329538645895746,0.029345372460496615,-0.0036084921290779823,0.01944276487135385,0.1360095865787897,0.14640438568203806,0.010394799103248364,0.04434589058646598,0.014379868184541641,0.015478877781360851,0.0010990095968192101,0.011916088825796808,0.008388256440982624,0.009029345372460496,0.000641088931477872,0.009081461661576591,0.04733373277411624,0.0509513060303128,0.003617573256196563,0.022368085490020326
Place,27730,Beaumont,general law,52080,44,35905,792,32950,936,0.3854616348697953,0.4145675265553869,0.029105891685591634,0.03898752574729634,0.41094555075894723,0.3907435508345979,-0.020201999924349345,0.04122777420657527,0.08759225734577357,0.07132018209408195,-0.016272075251691623,0.019329641090874622,0.09121292299122685,0.09650986342943854,0.005296940438211689,0.02836447319176354,0.00487397298426403,0.005311077389984826,0.0004371044057207953,0.0041233337795354985,0.001949589193705612,0.0021244309559939304,0.00017484176228831842,0.003296169039015413,0.01793622058209163,0.019241274658573598,0.0013050540764819665,0.009068503083034108
Place,27769,Bell,charter,33915,37,24545,685,15995,840,0.0694642493379507,0.08940293841825571,0.019938689080305008,0.03871685296783598,0.8910165003055612,0.8508909034073148,-0.04012559689824646,0.07935343672100664,0.012833570992055409,0.018755861206627072,0.005922290214571663,0.017821868885152612,0.021389284986759013,0.03282275711159737,0.011433472124838358,0.017482541133183906,0.0016296598085149725,0.0025007814942169426,0.0008711216857019701,0.002690013552334002,0.0008148299042574863,0.0012503907471084713,0.00043556084285098506,0.0023889404798481174,0.0028111631696883274,0.004313848077524226,0.0015026849078358987,0.00672032967697878
Place,27821,Bell Gardens,general law,39870,54,28315,659,16655,826,0.020837012184354582,0.035124587211047734,0.014287575026693151,0.011910383234276534,0.9585025604803108,0.9306514560192134,-0.027851104461097398,0.07483681538804239,0.005474130319618577,0.00870609426598619,0.0032319639463676136,0.007727393791733389,0.010948260639237154,0.018312818973281297,0.007364558334044143,0.013652020014807264,0.0010595090941197245,0.0018012608826178324,0.0007417517884981079,0.0024398149878258127,0.0008829242450997704,0.0015010507355148605,0.00061812649041509,0.0016040101943962273,0.0022956030372594033,0.003902731912338637,0.0016071288750792337,0.004671449857283085
Place,27808,Bellflower,general law,79070,53,59505,951,49055,1127,0.16158306024703806,0.18703496075833248,0.025451900511294423,0.025852712145718482,0.560373077892614,0.5212516563041484,-0.039121421588465655,0.03536233489834508,0.12469540374758424,0.11211905004586688,-0.012576353701717363,0.021186316133065423,0.133434165196202,0.15747630210987668,0.024042136913674683,0.025577973832515873,0.001596504495420553,0.0019366017735195189,0.0003400972780989659,0.0015067719274243576,0.004873540038652214,0.004280909183569463,-0.0005926308550827514,0.004625259998465597,0.013444248382488866,0.015900519824686578,0.002456271442197712,0.00562757238778057
