table,line,name,geosubtype,tot_est,tot_moe,adu_est,adu_moe,dvap_est,dvap_moe,prop_adu_dvap_est,prop_adu_dvap_moe
Place,42667,Temecula,general law,113380,57,80640,915,6060,1421,0.07514880952380952,0.017073133178901485
Place,42706,Temple City,charter,36040,62,28695,415,5020,875,0.17494336992507406,0.029367350061138563
Place,42823,Thousand Oaks,general law,127875,72,100295,799,9645,1402,0.09616630938730744,0.01355641827657122
Place,42875,Tiburon,general law,9145,38,7205,254,395,386,0.054823039555863984,0.05225237936391302
Place,43005,Torrance,charter,145490,44,115500,881,16050,1768,0.13896103896103895,0.014801043754176934
Place,43018,Tracy,general law,90675,50,65175,899,9330,1539,0.1431530494821634,0.02251533601865995
Place,43070,Trinidad,general law,325,119,285,100,5,143,0.017543859649122806,0.4969119868232063
Place,43135,Truckee,charter,16475,22,12465,257,620,449,0.04973926995587646,0.035365410255900294
Place,43148,Tulare,charter,63545,47,41905,798,7315,1179,0.174561508173249,0.025983556477509082
Place,43161,Tulelake,general law,840,186,565,107,165,139,0.2920353982300885,0.2055110218795618
Place,43200,Turlock,general law,72905,87,53545,681,6190,1137,0.11560369782425997,0.020380116337386407
Place,43213,Tustin,general law,79865,61,59705,785,11295,1539,0.18918013566702957,0.024590003217515574
Place,43278,Twentynine Palms,general law,26145,33,18865,522,575,794,0.03047972435727538,0.04148669910155745
Place,43304,Ukiah,general law,15945,32,12190,403,1840,654,0.1509433962264151,0.050722585805481515
Place,43317,Union City,general law,74720,84,60635,551,10745,1092,0.17720788323575493,0.01724115720719626
Place,43356,Upland,general law,76595,89,59830,606,5445,1167,0.09100785559084072,0.01903817387309893
Place,43382,Vacaville,general law,98875,64,76445,665,4925,1152,0.06442540388514618,0.014745819746503606
Place,43421,Vallejo,charter,121265,66,96175,737,11000,1383,0.11437483753574214,0.013930314863389203
Place,40483,Ventura,charter,109910,64,86525,731,6820,1367,0.07882114995665992,0.015441761481001083
Place,43590,Vernon,charter,130,54,80,37,15,51,0.1875,0.5767302643797727
Place,43616,Victorville,charter,121900,63,83255,1275,9930,2094,0.11927211578884152,0.02408222854561841
Place,43642,Villa Park,general law,5860,25,4785,110,175,175,0.03657262277951933,0.03603251091783817
Place,43707,Visalia,charter,132105,59,93190,1089,8835,1827,0.0948063096898809,0.01895695502658785
Place,43720,Vista,charter,100685,94,75005,963,10580,1810,0.14105726284914338,0.023212320917859665
Place,43798,Walnut,general law,29905,33,24535,293,2895,584,0.11799470144691257,0.02312137035960968
Place,43811,Walnut Creek,general law,69565,141,57765,528,4995,962,0.08647104648143339,0.016231072233879776
Place,43876,Wasco,general law,27195,22,20060,479,5245,811,0.2614656031904287,0.03706610342192042
Place,43902,Waterford,general law,8875,25,6065,293,840,520,0.13849958779884583,0.08206951520085604
Place,43928,Watsonville,charter,53800,44,37495,622,12470,1204,0.33257767702360314,0.029617621139593594
Place,43980,Weed,general law,2670,34,2030,159,100,239,0.04926108374384237,0.11503872165343104
Place,44071,West Covina,general law,106590,76,84245,784,11910,1428,0.141373375274497,0.01625991691583413
Place,44110,West Hollywood,general law,36450,55,34875,295,3225,657,0.09247311827956989,0.01847338901994192
Place,44266,West Sacramento,general law,53150,50,39275,463,5765,930,0.14678548695098664,0.022854311176744198
Place,44123,Westlake Village,general law,8360,28,6760,147,245,247,0.036242603550295856,0.036015485432623014
Place,44162,Westminster,general law,91135,62,72795,647,10030,1111,0.13778418847448315,0.014569243623162796
Place,44201,Westmorland,general law,2430,329,1560,216,320,279,0.20512820512820512,0.1576118313003207
Place,44318,Wheatland,general law,3810,20,3075,165,130,243,0.04227642276422764,0.07740637241718532
Place,44370,Whittier,charter,86090,78,66350,574,5255,905,0.07920120572720422,0.013207683805996986
Place,44383,Wildomar,general law,36445,54,26635,657,2785,1009,0.1045616669795382,0.036232476828123375
Place,44409,Williams,general law,5230,22,3580,159,1010,279,0.28212290502793297,0.07147209096952736
Place,44422,Willits,general law,4895,16,3720,234,150,363,0.04032258064516129,0.09585820301361889
Place,44461,Willows,general law,6015,28,4420,254,810,423,0.1832579185520362,0.0897253620906543
Place,44513,Windsor,general law,27445,37,20730,340,1770,631,0.085383502170767,0.029684325810979954
Place,44552,Winters,general law,7195,22,5230,256,705,498,0.13479923518164436,0.09197466194458123
Place,44630,Woodlake,charter,7620,37,4855,259,1355,439,0.27909371781668385,0.08243520587416675
Place,44643,Woodland,general law,59710,93,45405,534,6630,960,0.14601916088536504,0.020223369036707774
Place,44669,Woodside,general law,5540,46,4185,139,220,238,0.052568697729988054,0.05563298433761754
Place,44747,Yorba Linda,general law,67725,69,52110,579,2955,914,0.056706966033390906,0.017144324458513046
Place,44786,Yountville,general law,2985,20,2760,81,45,120,0.016304347826086956,0.04301199024846717
Place,44799,Yreka,general law,7560,81,5660,180,65,256,0.011484098939929329,0.044843308660688315
Place,44812,Yuba City,general law,66515,54,49455,404,7565,840,0.1529673440501466,0.016412162811952232
Place,44825,Yucaipa,general law,53415,55,40175,646,2475,1005,0.06160547604231487,0.02437349705800246
Place,44838,Yucca Valley,general law,21620,27,16730,502,455,759,0.027196652719665274,0.044774106507318424
