table,line,geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,state,name,geotype,dvap_est,dvap_moe,dvap_pct,dvap_pct_moe
State,417,New York,Total,04000US36,1,19572320,0,15463820,352,17686675,17845,13723455,15838,New York,New York,state,1740365,15842,0.11254431311280136,0.0010270409974150602
State,430,North Carolina,Total,04000US37,1,10264875,0,7968260,697,9766885,6563,7514970,5701,North Carolina,North Carolina,state,453290,5744,0.056886948970038625,0.0007258995257937856
State,443,North Dakota,Total,04000US38,1,756715,0,580975,321,738305,1157,564480,1095,North Dakota,North Dakota,state,16495,1142,0.0283919273634838,0.001982443604424799
State,456,Ohio,Total,04000US39,1,11655395,0,9050385,534,11397175,5241,8820895,4583,Ohio,Ohio,state,229490,4615,0.025356932329398143,0.0005114493710298533
State,469,Oklahoma,Total,04000US40,1,3932870,0,2975905,425,3782285,2945,2837290,2528,Oklahoma,Oklahoma,state,138615,2564,0.0465791078680267,0.0008683627921692999
State,482,Oregon,Total,04000US41,1,4129805,0,3261860,334,3905205,4920,3054025,4428,Oregon,Oregon,state,207835,4441,0.06371671377680219,0.0013681575380363326
State,495,Pennsylvania,Total,04000US42,1,12791530,0,10129140,403,12379320,6526,9759725,5692,Pennsylvania,Pennsylvania,state,369415,5707,0.03647051970848463,0.0005648974417484104
State,508,Rhode Island,Total,04000US44,1,1057230,0,849885,99,994510,2608,792920,2340,Rhode Island,Rhode Island,state,56965,2343,0.06702671537913953,0.002764973351905703
State,521,South Carolina,Total,04000US45,1,5020805,0,3918305,365,4873320,3689,3785355,3178,South Carolina,South Carolina,state,132950,3199,0.03393048780020953,0.0008196615129499318
State,534,South Dakota,Total,04000US46,1,870640,0,656530,415,850795,1371,639670,1046,South Dakota,South Dakota,state,16860,1126,0.025680471570225277,0.001732405745489194
State,547,Tennessee,Total,04000US47,1,6709355,0,5204435,826,6499470,4364,5019115,3999,Tennessee,Tennessee,state,185320,4084,0.03560809194465874,0.000790492191851129
State,560,Texas,Total,04000US48,1,28260855,0,20922410,1090,25253945,24109,18181330,21920,Texas,Texas,state,2741080,21948,0.13101167599717242,0.0010558990889120157
State,573,Utah,Total,04000US49,1,3096850,0,2173265,324,2938730,3408,2029030,3035,Utah,Utah,state,144235,3053,0.06636788426629979,0.0014149041297036036
State,586,Vermont,Total,04000US50,1,624315,0,507660,150,610980,973,495820,816,Vermont,Vermont,state,11840,830,0.02332269629279439,0.0016423290269037445
State,599,Virginia,Total,04000US51,1,8454465,0,6588765,957,7953315,8377,6140255,7251,Virginia,Virginia,state,448510,7314,0.06807193760894492,0.0011201214188834574
State,612,Washington,Total,04000US53,1,7404105,0,5760560,447,6850930,7503,5257900,6436,Washington,Washington,state,502660,6452,0.08725887760912134,0.001126888434010112
State,625,West Virginia,Total,04000US54,1,1817305,0,1447865,579,1802675,1008,1434260,1043,West Virginia,West Virginia,state,13605,1193,0.009396594295738898,0.0008280606791589446
State,638,Wisconsin,Total,04000US55,1,5790715,0,4509815,376,5633105,3692,4366395,3244,Wisconsin,Wisconsin,state,143420,3266,0.031801747965271306,0.0007269102558511015
State,651,Wyoming,Total,04000US56,1,581025,0,444655,456,568950,991,433355,1029,Wyoming,Wyoming,state,11300,1126,0.025412960609911054,0.002560988003210543
State,664,Puerto Rico,Total,04000US72,1,3318445,0,2670100,0,3271970,1837,2626420,1707,Puerto Rico,Puerto Rico,state,43680,1707,0.0163589378674956,0.000639301898805289
