table,line,geoid,geoname,geotype,name,state,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,has_charter,tot_est,tot_moe,p_adu_dvap_est,p_adu_dvap_moe
Place,32618,16000US0633000,"Hayward city, California",city,Hayward,California,125155,887,130780,1462,97880,1494,27275,1738,False,159295,104,0.21792976708880987,0.015541440301668763
Place,32631,16000US0633056,"Healdsburg city, California",city,Healdsburg,California,9750,288,10855,288,8790,336,960,443,False,11845,27,0.09846153846153846,0.04981578134399947
Place,32657,16000US0633182,"Hemet city, California",city,Hemet,California,62435,970,77840,875,56045,1230,6390,1567,False,84540,56,0.10234644029790983,0.02710934754883222
Place,32683,16000US0633308,"Hercules city, California",city,Hercules,California,20615,536,23690,422,18800,594,1815,801,False,25615,46,0.08804268736357021,0.042242685413958564
Place,32709,16000US0633364,"Hermosa Beach city, California",city,Hermosa Beach,California,16050,338,18795,232,15385,401,665,525,False,19540,30,0.041433021806853584,0.034305267398849065
Place,32722,16000US0633434,"Hesperia city, California",city,Hesperia,California,65365,940,85455,964,57150,1282,8215,1590,False,94205,90,0.12567888013462863,0.026513591731882807
Place,32748,16000US0633518,"Hidden Hills city, California",city,Hidden Hills,California,1275,159,1680,264,1205,160,70,226,False,1750,275,0.054901960784313725,0.21033101412608055
Place,32800,16000US0633588,"Highland city, California",city,Highland,California,38220,674,48785,821,32280,921,5940,1142,False,55050,50,0.1554160125588697,0.033205944507129354
Place,32826,16000US0633798,"Hillsborough town, California",town,Hillsborough,California,8540,169,10730,258,7850,263,690,313,False,11445,33,0.08079625292740047,0.03902216781086258
Place,32865,16000US0634120,"Hollister city, California",city,Hollister,California,27550,342,33730,707,22805,718,4745,796,False,38685,41,0.1722323049001815,0.03142103235356741
Place,32878,16000US0634246,"Holtville city, California",city,Holtville,California,4440,347,5470,546,3570,542,870,644,False,6525,17,0.19594594594594594,0.17395388303035508
Place,33034,16000US0634904,"Hughson city, California",city,Hughson,California,5185,313,7030,190,4755,360,430,478,False,7460,24,0.08293153326904533,0.10343956689515828
Place,33060,16000US0636000,"Huntington Beach city, California",city,Huntington Beach,California,161815,973,188825,1151,151105,1495,10710,1784,False,200260,89,0.0661866946821988,0.01149202107612303
Place,33073,16000US0636056,"Huntington Park city, California",city,Huntington Park,California,41965,564,40070,829,24540,810,17425,988,False,58355,116,0.4152269748600024,0.029520736547934634
Place,33086,16000US0636084,"Huron city, California",city,Huron,California,4505,387,3900,445,1615,349,2890,522,False,7115,24,0.6415094339622641,0.1870481182475464
Place,33151,16000US0636280,"Imperial city, California",city,Imperial,California,11150,624,16085,387,9815,660,1335,909,False,17455,27,0.11973094170403588,0.09345545388783187
Place,33164,16000US0636294,"Imperial Beach city, California",city,Imperial Beach,California,20745,455,24430,416,17925,581,2820,738,False,27315,69,0.13593637020968907,0.03942094866660467
Place,33216,16000US0636434,"Indian Wells city, California",city,Indian Wells,California,5105,95,5110,90,4845,136,260,166,False,5370,24,0.050930460333006855,0.03409947978675362
Place,33229,16000US0636448,"Indio city, California",city,Indio,California,69505,1059,78905,1144,59395,1399,10110,1755,False,89470,61,0.14545716135529818,0.02789117163713381
Place,33255,16000US0636490,"Industry city, California",city,Industry,California,245,74,345,131,215,73,30,104,False,375,130,0.12244897959183673,0.6611767514023152
Place,33268,16000US0636546,"Inglewood city, California",city,Inglewood,California,83810,1049,91800,1031,66660,1295,17150,1667,False,109615,48,0.20462951915045938,0.022736027423409966
Place,33320,16000US0636672,"Ione city, California",city,Ione,California,7155,181,7480,106,6880,212,275,279,False,7755,20,0.03843466107617051,0.04100325116931271
Place,33346,16000US0636770,"Irvine city, California",city,Irvine,California,212955,1454,217890,2980,165335,2665,47620,3036,False,273155,82,0.22361531779014346,0.015891824020060757
Place,33359,16000US0636826,"Irwindale city, California",city,Irwindale,California,1075,101,1265,143,945,95,130,139,False,1395,154,0.12093023255813953,0.1552504655938112
Place,33385,16000US0636882,"Isleton city, California",city,Isleton,California,450,98,455,103,380,81,70,128,False,545,132,0.15555555555555556,0.40694444444444444
Place,33411,16000US0636980,"Jackson city, California",city,Jackson,California,3905,172,4570,152,3765,186,140,254,False,4750,28,0.03585147247119078,0.06969366548755554
Place,33580,16000US0637692,"Jurupa Valley city, California",city,Jurupa Valley,California,76040,871,88645,1025,60150,1112,15890,1413,False,105655,46,0.20896896370331405,0.021219012723138336
Place,33723,16000US0638226,"Kerman city, California",city,Kerman,California,9980,343,11460,569,6690,536,3290,637,False,14815,25,0.32965931863727455,0.07783263944096558
Place,33788,16000US0638520,"King City city, California",city,King City,California,9245,456,8055,691,3830,532,5415,701,False,13920,22,0.5857220118983234,0.11014782539829737
Place,33814,16000US0638562,"Kingsburg city, California",city,Kingsburg,California,8495,352,11445,350,8065,463,430,582,False,11955,40,0.050618010594467334,0.07366051083498126
Place,33892,16000US0639003,"La Cañada Flintridge city, California",city,La Cañada Flintridge,California,14980,240,19095,272,13915,371,1065,442,False,20260,32,0.07109479305740989,0.03114401291273937
Place,33957,16000US0639122,"Lafayette city, California",city,Lafayette,California,19605,399,24690,426,18335,510,1270,648,False,26305,43,0.06477939301198674,0.03508523262583478
Place,33970,16000US0639178,"Laguna Beach city, California",city,Laguna Beach,California,19215,339,21985,279,18235,451,980,565,False,23035,42,0.051001821493624776,0.030848146719979798
Place,33983,16000US0639220,"Laguna Hills city, California",city,Laguna Hills,California,25180,524,28325,604,22275,669,2905,850,False,31615,50,0.1153693407466243,0.03692624653436208
Place,33996,16000US0639248,"Laguna Niguel city, California",city,Laguna Niguel,California,52930,656,61045,780,48465,981,4465,1181,False,65810,51,0.08435669752503307,0.023651107502322785
Place,34009,16000US0639259,"Laguna Woods city, California",city,Laguna Woods,California,16020,47,15310,225,15275,231,745,236,False,16055,34,0.046504369538077406,0.014911770197726763
Place,34035,16000US0639290,"La Habra city, California",city,La Habra,California,46290,549,51325,800,37325,810,8965,979,False,60595,60,0.19367033916612658,0.023727618902127295
Place,34048,16000US0639304,"La Habra Heights city, California",city,La Habra Heights,California,5320,247,6230,156,4980,332,340,414,False,6575,21,0.06390977443609022,0.08472022753512995
Place,34178,16000US0639486,"Lake Elsinore city, California",city,Lake Elsinore,California,44850,971,58605,759,38115,1086,6735,1457,False,65815,91,0.15016722408026756,0.03652800598422798
Place,34191,16000US0639496,"Lake Forest city, California",city,Lake Forest,California,65695,651,75080,972,57320,1034,8375,1222,False,83975,89,0.12748306568231982,0.020063210684447302
Place,34321,16000US0639710,"Lakeport city, California",city,Lakeport,California,3985,207,4740,98,3815,243,170,320,False,4910,19,0.04265997490589712,0.08703827813804146
Place,34412,16000US0639892,"Lakewood city, California",city,Lakewood,California,62730,693,75115,620,57795,721,4935,1001,False,80290,106,0.07867049258727882,0.01701434065739775
Place,34425,16000US0640004,"La Mesa city, California",city,La Mesa,California,47500,594,55795,713,44005,902,3495,1081,False,59555,43,0.07357894736842105,0.023977868390756885
Place,34438,16000US0640032,"La Mirada city, California",city,La Mirada,California,39600,484,45575,510,36635,649,2965,810,False,48765,74,0.07487373737373737,0.02163408551203827
Place,34477,16000US0640130,"Lancaster city, California",city,Lancaster,California,113405,1381,152360,727,107185,1420,6220,1981,False,159030,65,0.05484766985582646,0.018359857102682432
Place,34490,16000US0640256,"La Palma city, California",city,La Palma,California,12815,275,14105,339,11445,371,1370,462,False,15605,85,0.10690596956691377,0.03918653442032706
Place,34529,16000US0640340,"La Puente city, California",city,La Puente,California,30295,418,31965,780,22515,847,7780,945,False,40020,49,0.2568080541343456,0.035222604901032795
Place,34542,16000US0640354,"La Quinta city, California",city,La Quinta,California,33055,614,38355,471,30410,784,2645,996,False,41075,45,0.08001815156557253,0.03221636648257642
Place,34581,16000US0640438,"Larkspur city, California",city,Larkspur,California,10100,185,11450,262,9300,309,800,361,False,12320,28,0.07920792079207921,0.037887389344078135
Place,34646,16000US0640704,"Lathrop city, California",city,Lathrop,California,16165,374,18890,701,12930,669,3235,767,False,22340,73,0.20012372409526755,0.053311777139613076
Place,34672,16000US0640830,"La Verne city, California",city,La Verne,California,25625,408,30580,405,24120,544,1505,680,False,32210,68,0.05873170731707317,0.027916188943386044
Place,34698,16000US0640886,"Lawndale city, California",city,Lawndale,California,25045,476,26665,770,19170,870,5875,992,False,32820,33,0.2345777600319425,0.04492079505780475
Place,34789,16000US0641124,"Lemon Grove city, California",city,Lemon Grove,California,20110,478,24730,448,18110,584,2000,755,False,26800,43,0.09945300845350571,0.040879102385940086
Place,34815,16000US0641152,"Lemoore city, California",city,Lemoore,California,18985,468,24530,401,17460,505,1525,689,False,26105,47,0.08032657361074533,0.03923923078521514
Place,34919,16000US0641474,"Lincoln city, California",city,Lincoln,California,36800,431,44830,597,34380,710,2420,831,False,47390,49,0.06576086956521739,0.023628445510808893
Place,34984,16000US0641712,"Lindsay city, California",city,Lindsay,California,8950,457,9355,440,5285,495,3665,674,False,13310,33,0.4094972067039106,0.10139411556148442
Place,35088,16000US0641936,"Live Oak city, California",city,Live Oak,California,5990,237,7570,312,4930,341,1060,416,False,8680,58,0.17696160267111852,0.07960019117557018
Place,35101,16000US0641992,"Livermore city, California",city,Livermore,California,68565,721,82670,911,61990,1001,6575,1234,False,89700,73,0.0958944067673011,0.019207886729544613
Place,35114,16000US0642006,"Livingston city, California",city,Livingston,California,9960,415,11200,490,7000,494,2960,646,False,14230,31,0.2971887550200803,0.08060066352365985
Place,35153,16000US0642202,"Lodi city, California",city,Lodi,California,47510,649,59470,762,41635,879,5875,1093,False,65845,63,0.1236581772258472,0.025036899703795787
Place,35192,16000US0642370,"Loma Linda city, California",city,Loma Linda,California,19645,458,21515,487,17115,667,2530,810,False,24185,56,0.12878595062356835,0.04529024680177174
Place,35231,16000US0642468,"Lomita city, California",city,Lomita,California,16165,362,18755,435,14515,541,1650,651,False,20515,48,0.10207237859573152,0.043532886227403325
Place,35257,16000US0642524,"Lompoc city, California",city,Lompoc,California,31495,602,37065,669,25605,794,5890,997,False,43230,95,0.18701381171614542,0.03591694929767647
Place,35309,16000US0643000,"Long Beach city, California",city,Long Beach,California,362340,1852,409790,1972,308280,2651,54060,3234,False,466775,99,0.14919688690180494,0.009737668478679296
Place,35335,16000US0643140,"Loomis town, California",town,Loomis,California,5240,350,6790,29,5240,348,0,494,False,6790,25,0.0,0.10102249488752556
Place,35348,16000US0643224,"Los Alamitos city, California",city,Los Alamitos,California,8940,199,11005,166,8445,212,495,291,False,11535,62,0.05536912751677853,0.034551934146646715
Place,35374,16000US0643280,"Los Altos city, California",city,Los Altos,California,22635,301,27310,420,19985,445,2650,538,False,30505,74,0.11707532582284073,0.0256666818784219
Place,35387,16000US0643294,"Los Altos Hills town, California",town,Los Altos Hills,California,6650,130,7955,148,6150,171,500,215,False,8505,32,0.07518796992481203,0.034474606762304544
Place,35400,16000US0644000,"Los Angeles city, California",city,Los Angeles,California,3145520,3613,3199205,7929,2417040,7692,728480,8499,False,3966935,82,0.2315928685877057,0.002971362626012608
Place,35413,16000US0644028,"Los Banos city, California",city,Los Banos,California,25450,624,32505,753,19375,861,6075,1064,False,38915,41,0.2387033398821218,0.04885808765352631
Place,35439,16000US0644112,"Los Gatos town, California",town,Los Gatos,California,23960,438,28210,461,21905,563,2055,714,False,30730,47,0.08576794657762939,0.031951635090596106
Place,35530,16000US0644364,"Loyalton city, California",city,Loyalton,California,825,180,1095,207,825,180,0,255,False,1095,207,0.0,0.3953488372093023
Place,35595,16000US0644574,"Lynwood city, California",city,Lynwood,California,50685,893,53920,908,34865,1069,15820,1393,False,70635,55,0.31212390253526684,0.03357420157784369
Place,35699,16000US0644826,"McFarland city, California",city,McFarland,California,9730,423,10485,543,5880,557,3850,700,False,14825,41,0.39568345323741005,0.09319588489517833
Place,35764,16000US0645022,"Madera city, California",city,Madera,California,42600,643,51105,1181,29600,1152,13000,1320,False,64835,50,0.3051643192488263,0.03613748974609704
Place,35842,16000US0645246,"Malibu city, California",city,Malibu,California,10635,351,11995,358,10115,417,520,546,False,12620,28,0.048895157498824636,0.05476100741755032
Place,35855,16000US0645358,"Mammoth Lakes town, California",town,Mammoth Lakes,California,6305,296,6295,624,4655,543,1650,619,False,8170,14,0.2616970658207772,0.11590320044648861
Place,35881,16000US0645400,"Manhattan Beach city, California",city,Manhattan Beach,California,26015,380,33900,503,24750,479,1265,612,False,35500,70,0.048625792811839326,0.024594413936746586
Place,35907,16000US0645484,"Manteca city, California",city,Manteca,California,58400,687,73290,861,52935,944,5465,1168,False,79130,63,0.09357876712328766,0.02135201103761196
Place,35946,16000US0645736,"Maricopa city, California",city,Maricopa,California,865,118,1130,155,780,117,85,167,False,1230,159,0.09826589595375723,0.2390835016366042
Place,35959,16000US0645778,"Marina city, California",city,Marina,California,16990,384,19550,575,14705,685,2285,786,False,21980,37,0.13449087698646262,0.05044227970389026
Place,36037,16000US0646114,"Martinez city, California",city,Martinez,California,30725,459,36780,432,29380,559,1345,724,False,38290,44,0.043775427176566316,0.02458510939912919
Place,36050,16000US0646170,"Marysville city, California",city,Marysville,California,9415,302,11640,244,8760,363,655,473,False,12325,26,0.06956983536909188,0.054209381134803655
Place,36128,16000US0646492,"Maywood city, California",city,Maywood,California,19630,374,18765,527,11315,600,8315,708,False,27330,72,0.42358634742740703,0.04499487401006702
Place,36232,16000US0646828,"Mendota city, California",city,Mendota,California,7305,394,6190,629,2845,450,4460,599,False,11530,22,0.6105407255304586,0.12148068960483294
Place,36245,16000US0646842,"Menifee city, California",city,Menifee,California,67705,803,85900,645,63430,999,4275,1282,False,90350,130,0.06314157004652536,0.019920221828157017
Place,36258,16000US0646870,"Menlo Park city, California",city,Menlo Park,California,25635,427,29645,485,21560,566,4075,710,False,34140,59,0.1589623561536961,0.03085833569016297
Place,36284,16000US0646898,"Merced city, California",city,Merced,California,58235,831,72010,912,48305,1080,9930,1363,False,82660,72,0.17051601270713487,0.026212438271890987
Place,36427,16000US0647486,"Millbrae city, California",city,Millbrae,California,18300,231,19890,379,15790,390,2510,454,False,22625,32,0.1371584699453552,0.026879384944234724
Place,36440,16000US0647710,"Mill Valley city, California",city,Mill Valley,California,11145,217,13725,222,10595,256,550,336,False,14330,57,0.049349484073575596,0.03172665062627799
Place,36466,16000US0647766,"Milpitas city, California",city,Milpitas,California,62345,777,62235,1139,46605,1102,15740,1349,False,79515,41,0.25246611596759966,0.025096903782920066
Place,36557,16000US0648256,"Mission Viejo city, California",city,Mission Viejo,California,77010,698,89240,646,71155,899,5855,1139,False,95515,59,0.07602908713154136,0.015620981009773244
Place,36583,16000US0648354,"Modesto city, California",city,Modesto,California,158385,1042,193365,1267,140560,1465,17825,1798,False,212615,63,0.11254222306405279,0.012172572001504622
Place,36674,16000US0648648,"Monrovia city, California",city,Monrovia,California,29255,476,32240,684,24775,708,4480,854,False,36815,98,0.15313621603144761,0.03220726358910905
Place,36700,16000US0648690,"Montague city, California",city,Montague,California,1190,197,1460,237,1185,196,5,278,False,1470,236,0.004201680672268907,0.280793284081004
Place,36739,16000US0648788,"Montclair city, California",city,Montclair,California,29045,554,31850,973,22275,883,6770,1043,False,39155,37,0.23308658977448787,0.041140359086555944
Place,36752,16000US0648816,"Montebello city, California",city,Montebello,California,48690,680,51855,985,38435,981,10255,1194,False,62740,51,0.2106181967549805,0.02785295508838545
Place,36778,16000US0648872,"Monterey city, California",city,Monterey,California,24015,450,26010,593,21835,671,2180,808,False,28350,62,0.09077659795960857,0.03602161973612664
Place,36791,16000US0648914,"Monterey Park city, California",city,Monterey Park,California,49985,675,48685,1040,39065,1048,10920,1247,False,60440,72,0.21846553966189858,0.028279542471542907
Place,36830,16000US0648956,"Monte Sereno city, California",city,Monte Sereno,California,2560,169,3400,58,2490,169,70,240,False,3480,25,0.02734375,0.10230911491007946
Place,36869,16000US0649138,"Moorpark city, California",city,Moorpark,California,27790,428,34100,419,25640,589,2150,729,False,36370,45,0.07736595897804965,0.027852957767802264
Place,36895,16000US0649187,"Moraga town, California",town,Moraga,California,13770,297,16765,213,13040,341,730,453,False,17540,40,0.053013798111837325,0.034791441998012006
Place,36908,16000US0649270,"Moreno Valley city, California",city,Moreno Valley,California,148980,1352,181215,1519,124380,1890,24600,2324,False,207290,126,0.16512283527990335,0.017254491514471698
Place,36921,16000US0649278,"Morgan Hill city, California",city,Morgan Hill,California,33080,526,41505,506,30115,672,2965,854,False,44685,37,0.08963119709794437,0.027681575526003532
Place,36947,16000US0649362,"Morro Bay city, California",city,Morro Bay,California,9140,179,10295,144,8855,217,285,282,False,10580,22,0.031181619256017507,0.03209256889262661
Place,37077,16000US0649670,"Mountain View city, California",city,Mountain View,California,65625,660,59985,1254,45950,1237,19675,1403,False,81655,49,0.2998095238095238,0.024642103990060615
Place,37142,16000US0649852,"Mount Shasta city, California",city,Mount Shasta,California,2830,207,3220,53,2770,210,60,295,False,3275,12,0.02120141342756184,0.11413979892470656
Place,37181,16000US0650076,"Murrieta city, California",city,Murrieta,California,80595,1193,107000,1081,75650,1344,4945,1798,False,112940,86,0.06135616353371797,0.023566130615044027
Place,37233,16000US0650258,"Napa city, California",city,Napa,California,61110,445,68945,879,51800,847,9310,957,False,79075,55,0.15234822451317298,0.016892688698728453
Place,37246,16000US0650398,"National City city, California",city,National City,California,48545,799,49600,944,37910,1156,10635,1406,False,61120,125,0.21907508497270572,0.03311358004635345
Place,37259,16000US0650734,"Needles city, California",city,Needles,California,3650,234,4935,40,3620,237,30,334,False,4965,31,0.00821917808219178,0.09833819896698855
Place,37272,16000US0650874,"Nevada City city, California",city,Nevada City,California,2735,190,3105,40,2695,193,40,271,False,3145,14,0.014625228519195612,0.10757516440811284
Place,37285,16000US0650916,"Newark city, California",city,Newark,California,37155,542,40285,823,30610,823,6545,986,False,47170,42,0.1761539496703001,0.02953801766370695
Place,37337,16000US0651140,"Newman city, California",city,Newman,California,7985,295,9845,359,6510,412,1475,507,False,11315,21,0.184721352536005,0.0730159686603539
Place,37363,16000US0651182,"Newport Beach city, California",city,Newport Beach,California,70935,730,81725,607,67395,902,3540,1161,False,85695,55,0.04990484246140833,0.01705620019937082
Place,37454,16000US0651560,"Norco city, California",city,Norco,California,21485,407,25355,393,20265,597,1220,723,False,26670,42,0.05678380265301373,0.03539761873421466
Place,37636,16000US0652526,"Norwalk city, California",city,Norwalk,California,79745,832,90295,1006,65560,1116,14185,1393,False,105305,161,0.17787949087717098,0.019527780421601082
Place,37649,16000US0652582,"Novato city, California",city,Novato,California,45215,401,50185,808,39945,837,5270,929,False,55640,45,0.11655424084927568,0.021773067581125544
Place,37688,16000US0652694,"Oakdale city, California",city,Oakdale,California,16365,434,21310,466,14885,615,1480,753,False,22935,33,0.0904369080354415,0.049730062022935256
Place,37740,16000US0653000,"Oakland city, California",city,Oakland,California,340625,1274,364630,2175,284870,2256,55755,2591,False,425095,108,0.16368440366972478,0.00824967048947911
Place,37753,16000US0653070,"Oakley city, California",city,Oakley,California,29245,438,38525,624,26575,629,2670,767,False,41325,57,0.09129765771926825,0.028013620789427554
Place,37857,16000US0653322,"Oceanside city, California",city,Oceanside,California,137855,1048,159625,1620,122580,1830,15275,2109,False,175620,82,0.1108048311631787,0.016264690133246204
Place,37896,16000US0653476,"Ojai city, California",city,Ojai,California,6285,238,7055,237,5890,313,395,394,False,7535,26,0.06284805091487669,0.06762987202211687
Place,37961,16000US0653896,"Ontario city, California",city,Ontario,California,130330,1199,149510,1795,104585,2004,25745,2336,False,176760,62,0.19753702140719712,0.01992431630411931
Place,37987,16000US0653980,"Orange city, California",city,Orange,California,110045,1053,123900,1206,94825,1398,15220,1751,False,139885,73,0.13830705620428008,0.017401619661838535
Place,38000,16000US0654008,"Orange Cove city, California",city,Orange Cove,California,6275,290,7325,373,3510,331,2765,441,False,10275,24,0.4406374501992032,0.09503506442067988
Place,38052,16000US0654232,"Orinda city, California",city,Orinda,California,15115,288,18830,261,14375,360,740,462,False,19645,34,0.04895798875289448,0.032110332552831564
Place,38065,16000US0654274,"Orland city, California",city,Orland,California,5210,211,6425,402,4075,355,1135,413,False,7620,19,0.21785028790786948,0.09181164447860779
Place,38091,16000US0654386,"Oroville city, California",city,Oroville,California,14595,502,18900,206,14185,540,410,738,False,19395,44,0.028091812264474134,0.05336706803070787
Place,38117,16000US0654652,"Oxnard city, California",city,Oxnard,California,151640,939,166200,1566,111840,1793,39800,2024,False,208155,83,0.26246372988657346,0.015065948085039194
Place,38143,16000US0654806,"Pacifica city, California",city,Pacifica,California,31510,354,37205,331,29845,468,1665,587,False,38985,45,0.05284036813709933,0.01944105438183763
Place,38156,16000US0654848,"Pacific Grove city, California",city,Pacific Grove,California,12615,222,14985,177,12115,255,500,339,False,15520,27,0.03963535473642489,0.02806415305022887
Place,38221,16000US0655156,"Palmdale city, California",city,Palmdale,California,109410,1154,139480,1414,93665,1649,15745,2013,False,156295,59,0.14390823507906042,0.02012886217190027
Place,38234,16000US0655184,"Palm Desert city, California",city,Palm Desert,California,45015,544,47980,702,40575,932,4440,1080,False,52575,67,0.09863378873708764,0.02549204607661118
Place,38247,16000US0655254,"Palm Springs city, California",city,Palm Springs,California,42075,548,42680,513,37020,765,5055,942,False,47895,110,0.12014260249554368,0.02426946676060293
Place,38260,16000US0655282,"Palo Alto city, California",city,Palo Alto,California,51300,585,56350,904,42635,1006,8665,1164,False,66575,111,0.1689083820662768,0.024900155841639987
Place,38286,16000US0655380,"Palos Verdes Estates city, California",city,Palos Verdes Estates,California,10565,168,12570,249,9865,269,700,318,False,13435,25,0.06625650733554188,0.031656352143153904
Place,38325,16000US0655520,"Paradise town, California",town,Paradise,California,17990,432,21845,121,17705,438,285,616,False,22135,25,0.01584213451917732,0.035473505075309525
Place,38364,16000US0655618,"Paramount city, California",city,Paramount,California,38955,768,43825,670,28755,948,10200,1221,False,54515,30,0.2618405852907201,0.037240253738268836
Place,38429,16000US0655856,"Parlier city, California",city,Parlier,California,10130,322,10270,526,5395,455,4735,558,False,15310,39,0.4674234945705824,0.07223800624507826
Place,38442,16000US0656000,"Pasadena city, California",city,Pasadena,California,115505,864,120560,1325,95820,1499,19685,1731,False,141260,64,0.1704255227046448,0.01638373401851706
Place,38481,16000US0656112,"Patterson city, California",city,Patterson,California,15530,502,18915,497,12425,705,3105,866,False,22065,30,0.19993560849967804,0.06430447667466319
Place,38598,16000US0656700,"Perris city, California",city,Perris,California,52415,1015,65465,1132,41270,1374,11145,1709,False,77290,51,0.21262997233616332,0.03744784867550982
Place,38624,16000US0656784,"Petaluma city, California",city,Petaluma,California,47985,507,55515,627,43175,703,4810,867,False,60765,50,0.10023965822652912,0.019331511578433172
Place,38702,16000US0656924,"Pico Rivera city, California",city,Pico Rivera,California,48690,705,55725,751,41540,1023,7150,1243,False,63000,47,0.14684740193058124,0.028061423744108777
Place,38715,16000US0656938,"Piedmont city, California",city,Piedmont,California,8530,165,11145,94,8390,170,140,237,False,11315,47,0.016412661195779603,0.028656077596808563
Place,38845,16000US0657288,"Pinole city, California",city,Pinole,California,15965,291,17705,328,14445,377,1520,477,False,19280,63,0.09520826808643909,0.03220017902342437
Place,38897,16000US0657414,"Pismo Beach city, California",city,Pismo Beach,California,7395,261,7865,154,7130,260,265,369,False,8180,20,0.03583502366463827,0.05303517538217979
Place,38910,16000US0657456,"Pittsburg city, California",city,Pittsburg,California,53725,832,60595,1051,43745,1249,9980,1501,False,71420,51,0.1857608189855747,0.03130003972918907
Place,38936,16000US0657526,"Placentia city, California",city,Placentia,California,39640,602,46540,591,34635,832,5005,1027,False,51820,65,0.12626135216952572,0.02825476033623789
Place,38949,16000US0657540,"Placerville city, California",city,Placerville,California,8660,392,10725,162,8490,423,170,577,False,10970,27,0.019630484988452657,0.070717845925916
Place,38988,16000US0657764,"Pleasant Hill city, California",city,Pleasant Hill,California,28140,455,31920,671,25470,603,2670,756,False,34840,39,0.09488272921108742,0.028866593526857318
Place,39001,16000US0657792,"Pleasanton city, California",city,Pleasanton,California,61805,566,69550,1052,51595,1012,10210,1160,False,81715,32,0.16519699053474637,0.020469006623927033
Place,39053,16000US0657834,"Plymouth city, California",city,Plymouth,California,720,162,810,204,550,151,170,222,False,980,228,0.2361111111111111,0.46639784946236557
Place,39066,16000US0657876,"Point Arena city, California",city,Point Arena,California,310,82,380,121,270,74,40,111,False,420,133,0.12903225806451613,0.5332484436898698
Place,39105,16000US0658072,"Pomona city, California",city,Pomona,California,114115,947,123245,1287,86215,1440,27900,1724,False,152210,96,0.24449020724707532,0.017279904445275884
Place,39157,16000US0658240,"Porterville city, California",city,Porterville,California,41070,906,50890,1132,33160,1080,7910,1410,False,59695,51,0.19259800340881422,0.039450597328164166
Place,39170,16000US0658296,"Port Hueneme city, California",city,Port Hueneme,California,17130,421,19785,411,14870,574,2260,712,False,22155,46,0.13193228254524225,0.045935932189331924
Place,39183,16000US0658352,"Portola city, California",city,Portola,California,1495,268,1885,343,1465,267,30,379,False,1915,343,0.020066889632107024,0.3132664437012263
Place,39196,16000US0658380,"Portola Valley town, California",town,Portola Valley,California,3540,166,4280,153,3230,218,310,275,False,4590,23,0.08757062146892655,0.08581408511080077
Place,39261,16000US0658520,"Poway city, California",city,Poway,California,37935,493,46050,641,34580,763,3355,909,False,49700,45,0.08844075392118096,0.025442051484513173
Place,39430,16000US0659444,"Rancho Cordova city, California",city,Rancho Cordova,California,55100,727,64950,827,47870,947,7230,1194,False,73145,54,0.13121597096188747,0.023713865537845852
Place,39443,16000US0659451,"Rancho Cucamonga city, California",city,Rancho Cucamonga,California,134545,1348,163945,1334,122980,1746,11565,2206,False,176380,72,0.08595637147422795,0.017431842975046435
Place,39456,16000US0659500,"Rancho Mirage city, California",city,Rancho Mirage,California,16820,283,16830,273,15600,392,1220,484,False,18195,44,0.07253269916765755,0.03050896497940661
Place,39482,16000US0659514,"Rancho Palos Verdes city, California",city,Rancho Palos Verdes,California,33180,476,38735,535,30350,606,2830,771,False,42030,49,0.08529234478601568,0.024816510399894312
Place,39521,16000US0659587,"Rancho Santa Margarita city, California",city,Rancho Santa Margarita,California,36460,452,45695,579,33835,681,2625,818,False,48505,46,0.071996708721887,0.02362093180244093
Place,39560,16000US0659892,"Red Bluff city, California",city,Red Bluff,California,10115,447,13725,225,9605,526,510,691,False,14265,36,0.05042016806722689,0.07380407686450666
Place,39599,16000US0659920,"Redding city, California",city,Redding,California,71385,579,88455,471,68490,583,2895,822,False,91580,48,0.040554738390418156,0.011940812834054348
Place,39612,16000US0659962,"Redlands city, California",city,Redlands,California,55515,795,67210,805,51885,1044,3630,1313,False,71200,60,0.06538773304512294,0.024944869294058356
Place,39625,16000US0660018,"Redondo Beach city, California",city,Redondo Beach,California,52620,654,63165,565,48830,705,3790,962,False,67425,72,0.07202584568605093,0.01941856027169067
Place,39651,16000US0660102,"Redwood City city, California",city,Redwood City,California,67430,749,68920,1134,51545,1208,15885,1422,False,85785,58,0.23557763606703247,0.02397156085562918
Place,39677,16000US0660242,"Reedley city, California",city,Reedley,California,17545,462,19825,641,12100,736,5445,869,False,25590,35,0.3103448275862069,0.05926238426182917
Place,39703,16000US0660466,"Rialto city, California",city,Rialto,California,74125,921,87095,1037,58960,1162,15165,1483,False,103045,112,0.2045868465430017,0.022832420163735656
Place,39742,16000US0660620,"Richmond city, California",city,Richmond,California,85930,921,87760,1645,65310,1687,20620,1923,False,109885,89,0.239962760386361,0.025220926046840175
Place,39768,16000US0660704,"Ridgecrest city, California",city,Ridgecrest,California,21135,510,28055,198,20490,529,645,735,False,28755,43,0.030518097941802696,0.036390992967288205
Place,39794,16000US0660900,"Rio Dell city, California",city,Rio Dell,California,2400,125,3365,31,2395,126,5,178,False,3375,21,0.0020833333333333333,0.0783562271062271
