table,line,geoid,geoname,geotype,name,state,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe,dvap_est,dvap_moe,has_charter,tot_est,tot_moe,p_adu_dvap_est,p_adu_dvap_moe
Place,26352,16000US0605108,"Belmont city, California",city,Belmont,California,20865,267,23510,565,17670,475,3195,545,False,27095,33,0.1531272465851905,0.028443779728043794
Place,26365,16000US0605164,"Belvedere city, California",city,Belvedere,California,1585,126,1955,161,1455,130,130,182,False,2135,169,0.08201892744479496,0.13182617193834417
Place,26404,16000US0605290,"Benicia city, California",city,Benicia,California,22605,286,27055,301,21565,389,1040,483,False,28190,38,0.0460075204600752,0.022230303815205944
Place,26443,16000US0606000,"Berkeley city, California",city,Berkeley,California,106295,649,106695,934,91770,991,14525,1185,False,121485,56,0.1366480079025354,0.012056155056781565
Place,26508,16000US0606308,"Beverly Hills city, California",city,Beverly Hills,California,27250,600,31275,651,24930,767,2320,974,False,34185,51,0.08513761467889908,0.038464636728230375
Place,26547,16000US0606434,"Big Bear Lake city, California",city,Big Bear Lake,California,4190,147,4815,183,3830,202,360,250,False,5240,37,0.08591885441527446,0.06495920643063204
Place,26586,16000US0606560,"Biggs city, California",city,Biggs,California,1560,250,1960,311,1350,227,210,338,False,2175,354,0.1346153846153846,0.2837052260716383
Place,26651,16000US0606798,"Bishop city, California",city,Bishop,California,3040,154,3575,128,2870,173,170,232,False,3745,23,0.05592105263157895,0.08337208666156035
Place,26742,16000US0607162,"Blue Lake city, California",city,Blue Lake,California,795,180,900,203,795,180,0,255,False,900,203,0.0,0.4146341463414634
Place,26768,16000US0607218,"Blythe city, California",city,Blythe,California,15540,392,17565,270,13485,444,2055,593,False,19645,88,0.13223938223938225,0.04256917334551344
Place,27028,16000US0607946,"Bradbury city, California",city,Bradbury,California,690,113,740,116,605,98,85,150,False,835,138,0.12318840579710146,0.28409062366563687
Place,27054,16000US0608058,"Brawley city, California",city,Brawley,California,17255,752,22540,745,13985,906,3270,1178,False,26075,31,0.18951028687337004,0.08001646583825814
Place,27067,16000US0608100,"Brea city, California",city,Brea,California,33120,440,39475,544,30135,645,2985,781,False,42680,46,0.0901268115942029,0.025111866496372384
Place,27080,16000US0608142,"Brentwood city, California",city,Brentwood,California,45565,746,58935,686,42860,890,2705,1162,False,61960,61,0.0593657412487655,0.026914630914825828
Place,27119,16000US0608310,"Brisbane city, California",city,Brisbane,California,3855,109,4340,136,3495,164,360,197,False,4695,20,0.0933852140077821,0.055306724059489665
Place,27210,16000US0608758,"Buellton city, California",city,Buellton,California,3720,187,4570,262,3235,295,485,350,False,5080,38,0.1303763440860215,0.10596670714522674
Place,27223,16000US0608786,"Buena Park city, California",city,Buena Park,California,64245,807,68725,1093,51390,1104,12855,1368,False,82490,86,0.20009339248190522,0.024109766507974667
Place,27249,16000US0608954,"Burbank city, California",city,Burbank,California,84845,632,92660,1203,74800,1213,10045,1368,False,103705,57,0.11839236254346161,0.01713303139809136
Place,27275,16000US0609066,"Burlingame city, California",city,Burlingame,California,23350,306,26805,516,19915,556,3435,635,False,30575,53,0.14710920770877944,0.02950943488799196
Place,27405,16000US0609598,"Calabasas city, California",city,Calabasas,California,18630,390,22240,364,17095,529,1535,658,False,23990,39,0.08239398819108965,0.0378362749668051
Place,27418,16000US0609710,"Calexico city, California",city,Calexico,California,28235,656,32385,850,21285,1042,6950,1232,False,39945,39,0.24614839737913938,0.050526608966268344
Place,27431,16000US0609780,"California City city, California",city,California City,California,10920,422,13120,192,10240,469,680,631,False,13825,28,0.06227106227106227,0.06260986742983314
Place,27470,16000US0609864,"Calimesa city, California",city,Calimesa,California,7095,202,8575,110,6860,241,235,315,False,8815,44,0.03312191684284708,0.046669175569745404
Place,27483,16000US0609878,"Calipatria city, California",city,Calipatria,California,6180,266,6540,147,5345,293,835,396,False,7395,16,0.13511326860841424,0.07303688357285054
Place,27496,16000US0609892,"Calistoga city, California",city,Calistoga,California,4305,241,4660,262,3725,287,580,375,False,5270,16,0.13472706155632985,0.10026309592398511
Place,27587,16000US0610046,"Camarillo city, California",city,Camarillo,California,54005,514,64135,628,50405,772,3600,928,False,68120,86,0.0666604943986668,0.01798925976558513
