"Column Name","Label"
"B05003_018MA","Annotation of Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen"
"B05003_019E","Estimate!!Total:!!Female:!!18 years and over:"
"B05003_019EA","Annotation of Estimate!!Total:!!Female:!!18 years and over:"
"B05003_019M","Margin of Error!!Total:!!Female:!!18 years and over:"
"B05003_019MA","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:"
"B05003_020E","Estimate!!Total:!!Female:!!18 years and over:!!Native"
"B05003_020M","Margin of Error!!Total:!!Female:!!18 years and over:!!Native"
"B05003_020MA","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Native"
"B05003_020EA","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Native"
"B05003_021E","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:"
"B05003_021EA","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:"
"B05003_021M","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:"
"B05003_021MA","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:"
"B05003_022E","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_022EA","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_022M","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_022MA","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"B05003_023E","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"B05003_023EA","Annotation of Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"B05003_023M","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
"B05003_023MA","Annotation of Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen"
