"GEO_ID","NAME","B05003_001E","B05003_001EA","B05003_001M","B05003_001MA","B05003_002E","B05003_002M","B05003_002MA","B05003_002EA","B05003_003E","B05003_003EA","B05003_003M","B05003_003MA","B05003_004E","B05003_004EA","B05003_004M","B05003_004MA","B05003_005E","B05003_005M","B05003_005MA","B05003_005EA","B05003_006E","B05003_006M","B05003_006MA","B05003_006EA","B05003_007E","B05003_007M","B05003_007MA","B05003_007EA","B05003_008E","B05003_008EA","B05003_008M","B05003_008MA","B05003_009E","B05003_009EA","B05003_009M","B05003_009MA","B05003_010E","B05003_010EA","B05003_010M","B05003_010MA","B05003_011E","B05003_011EA","B05003_011M","B05003_011MA","B05003_012E","B05003_012EA","B05003_012M","B05003_012MA","B05003_013E","B05003_013EA","B05003_013M","B05003_013MA","B05003_014E","B05003_014EA","B05003_014M","B05003_014MA","B05003_015E","B05003_015M","B05003_015MA","B05003_015EA","B05003_016E","B05003_016M","B05003_016MA","B05003_016EA","B05003_017E","B05003_017M","B05003_017MA","B05003_017EA","B05003_018E","B05003_018EA","B05003_018M","B05003_018MA","B05003_019E","B05003_019EA","B05003_019M","B05003_019MA","B05003_020E","B05003_020M","B05003_020MA","B05003_020EA","B05003_021E","B05003_021EA","B05003_021M","B05003_021MA","B05003_022E","B05003_022EA","B05003_022M","B05003_022MA","B05003_023E","B05003_023EA","B05003_023M","B05003_023MA",
"0400000US16","Idaho","1939033","null","*****","*****","976925","2900","null","null","238182","null","2807","null","234340","null","3113","null","3842","1254","null","null","817","488","null","null","3025","1158","null","null","738743","null","1943","null","684986","null","4402","null","53757","null","4111","null","22676","null","2207","null","31081","null","3175","null","962108","null","2900","null","226438","null","2406","null","221661","2988","null","null","4777","1412","null","null","1555","747","null","null","3222","null","1284","null","735670","null","1712","null","682068","3685","null","null","53602","null","3244","null","28576","null","3017","null","25026","null","2571","null",
"0400000US17","Illinois","12582032","null","*****","*****","6229035","4838","null","null","1393814","null","3839","null","1354343","null","5807","null","39471","3636","null","null","12433","2174","null","null","27038","2974","null","null","4835221","null","3082","null","3967880","null","13640","null","867341","null","12959","null","452034","null","10563","null","415307","null","11645","null","6352997","null","4838","null","1322392","null","3925","null","1283559","5435","null","null","38833","4335","null","null","11275","1919","null","null","27558","null","4160","null","5030605","null","3014","null","4166150","13472","null","null","864455","null","13706","null","490223","null","10315","null","374232","null","11395","null",
"0400000US18","Indiana","6833037","null","*****","*****","3392667","5526","null","null","808021","null","4670","null","791262","null","5562","null","16759","3269","null","null","4143","1418","null","null","12616","2857","null","null","2584646","null","3128","null","2393091","null","7125","null","191555","null","6804","null","80057","null","5378","null","111498","null","6677","null","3440370","null","5526","null","761353","null","4186","null","741099","5657","null","null","20254","3625","null","null","7585","1670","null","null","12669","null","3397","null","2679017","null","3162","null","2493059","7143","null","null","185958","null","6358","null","88269","null","4858","null","97689","null","5415","null",
"0400000US19","Iowa","3200517","null","*****","*****","1607659","3342","null","null","367734","null","2917","null","358391","null","3637","null","9343","2400","null","null","3234","1121","null","null","6109","2023","null","null","1239925","null","2667","null","1151433","null","4598","null","88492","null","3716","null","38539","null","3518","null","49953","null","3530","null","1592858","null","3342","null","349014","null","2698","null","339279","3183","null","null","9735","2163","null","null","3623","1421","null","null","6112","null","1460","null","1243844","null","2208","null","1160687","4229","null","null","83157","null","4259","null","40186","null","3537","null","42971","null","3547","null",
"0400000US20","Kansas","2937150","null","*****","*****","1473791","3842","null","null","353303","null","3273","null","345086","null","3901","null","8217","1749","null","null","1898","1069","null","null","6319","1424","null","null","1120488","null","2609","null","1025666","null","6276","null","94822","null","5422","null","39603","null","3479","null","55219","null","3719","null","1463359","null","3842","null","334909","null","3224","null","328931","3363","null","null","5978","1147","null","null","1837","615","null","null","4141","null","978","null","1128450","null","2440","null","1029884","4616","null","null","98566","null","4598","null","43407","null","3327","null","55159","null","3691","null",
"0400000US21","Kentucky","4512310","null","*****","*****","2233158","4243","null","null","512959","null","3271","null","503057","null","3844","null","9902","1953","null","null","2549","855","null","null","7353","1869","null","null","1720199","null","2636","null","1640894","null","4422","null","79305","null","3889","null","32485","null","2797","null","46820","null","3266","null","2279152","null","4243","null","491921","null","3380","null","482137","3930","null","null","9784","1896","null","null","3581","1153","null","null","6203","null","1646","null","1787231","null","2528","null","1705323","4825","null","null","81908","null","4432","null","41134","null","3350","null","40774","null","3557","null",
"0400000US22","Louisiana","4590241","null","*****","*****","2248146","5640","null","null","543039","null","5127","null","535118","null","5433","null","7921","1763","null","null","1661","755","null","null","6260","1682","null","null","1705107","null","2371","null","1611129","null","4883","null","93978","null","5213","null","41333","null","3130","null","52645","null","4491","null","2342095","null","5640","null","515821","null","4693","null","507968","5096","null","null","7853","1734","null","null","1606","1062","null","null","6247","null","1381","null","1826274","null","2250","null","1743131","4425","null","null","83143","null","3789","null","40803","null","2948","null","42340","null","3304","null",
"0400000US23","Maine","1385340","null","*****","*****","684557","2382","null","null","126452","null","1589","null","122662","null","1844","null","3790","1494","null","null","1319","1087","null","null","2471","1054","null","null","558105","null","1841","null","534611","null","2396","null","23494","null","2052","null","13878","null","1722","null","9616","null","1462","null","700783","null","2382","null","119039","null","1512","null","116507","1571","null","null","2532","943","null","null","606","366","null","null","1926","null","800","null","581744","null","1550","null","555141","2396","null","null","26603","null","2439","null","16082","null","2080","null","10521","null","1564","null",
"0400000US24","Maryland","6164660","null","*****","*****","3004117","3849","null","null","690530","null","3351","null","654738","null","4856","null","35792","3879","null","null","8277","1702","null","null","27515","3419","null","null","2313587","null","1904","null","1854032","null","11309","null","459555","null","11228","null","254498","null","9110","null","205057","null","9931","null","3160543","null","3849","null","656201","null","3198","null","613289","5646","null","null","42912","5029","null","null","9901","2406","null","null","33011","null","4639","null","2504342","null","1818","null","2012891","12165","null","null","491451","null","12134","null","289210","null","10037","null","202241","null","9062","null",
"0400000US25","Massachusetts","6981974","null","*****","*****","3419487","2852","null","null","684313","null","2492","null","646333","null","4554","null","37980","4197","null","null","10425","2548","null","null","27555","3590","null","null","2735174","null","1950","null","2158276","null","11566","null","576898","null","11814","null","317806","null","10053","null","259092","null","9443","null","3562487","null","2852","null","651675","null","2278","null","613882","4333","null","null","37793","4427","null","null","7449","1744","null","null","30344","null","4138","null","2910812","null","1413","null","2303612","11405","null","null","607200","null","11173","null","359458","null","10031","null","247742","null","8670","null",
"0400000US26","Michigan","10034118","null","*****","*****","4979089","4441","null","null","1079875","null","3418","null","1055031","null","4778","null","24844","3020","null","null","9009","1990","null","null","15835","2421","null","null","3899214","null","3038","null","3581660","null","10360","null","317554","null","10368","null","181351","null","7710","null","136203","null","6448","null","5055029","null","4442","null","1026353","null","3424","null","1002522","4156","null","null","23831","2702","null","null","8131","1636","null","null","15700","null","2489","null","4028676","null","2842","null","3699702","8567","null","null","328974","null","7888","null","198485","null","6795","null","130489","null","6061","null",
"0400000US27","Minnesota","5717184","null","*****","*****","2869638","3494","null","null","660483","null","3241","null","636282","null","4717","null","24201","3322","null","null","9672","2317","null","null","14529","3096","null","null","2209155","null","2843","null","1990865","null","6653","null","218290","null","6341","null","131122","null","5022","null","87168","null","5509","null","2847546","null","3494","null","627730","null","2896","null","603145","4424","null","null","24585","3573","null","null","8966","2366","null","null","15619","null","3122","null","2219816","null","2615","null","1988066","6248","null","null","231750","null","5967","null","140711","null","5573","null","91039","null","5374","null",
"0400000US28","Mississippi","2940057","null","*****","*****","1426689","4975","null","null","343977","null","4562","null","341924","null","4523","null","2053","863","null","null","807","502","null","null","1246","815","null","null","1082712","null","2157","null","1049938","null","3145","null","32774","null","2590","null","11715","null","1619","null","21059","null","2116","null","1513368","null","4975","null","332108","null","4484","null","330119","4488","null","null","1989","934","null","null","694","461","null","null","1295","null","727","null","1181260","null","1720","null","1152628","2654","null","null","28632","null","2294","null","13514","null","1822","null","15118","null","1933","null",
