geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
United States,Total,0100000US,1,329725480,0,255491405,4079,308022040,125308,235667240,116748
United States,Not Hispanic or Latino,0100000US,2,268918510,1827,213525250,3729,259023265,44796,204662050,42487
United States,American Indian or Alaska Native Alone,0100000US,3,1956350,7486,1452515,5276,1945520,7231,1442780,5083
United States,Asian Alone,0100000US,4,18736560,23582,14985360,12307,13804675,20313,10524230,18333
United States,Black or African American Alone,0100000US,5,40650565,36280,30738665,20642,39041080,32908,29348590,21394
United States,Native Hawaiian or Other Pacific Islander Alone,0100000US,6,571555,5138,433225,3476,486965,5378,358995,3895
United States,White Alone,0100000US,7,197907235,1340,160784415,1194,194869670,22532,158036660,19998
United States,American Indian or Alaska Native and White,0100000US,8,1841150,7216,1395165,5805,1835940,7198,1390340,5836
United States,Asian and White,0100000US,9,2467055,23444,1289910,11442,2340410,23738,1192440,11740
United States,Black or African American and White,0100000US,10,3071415,29213,1351875,16476,3028895,28933,1315015,16066
United States,American Indian or Alaska Native and Black or African American,0100000US,11,294595,7442,223660,5505,292995,7376,222140,5440
United States,Remainder of Two or More Race Responses,0100000US,12,1422035,16923,870465,10799,1377110,16929,830860,10835
United States,Hispanic or Latino,0100000US,13,60806970,1812,41966155,2358,48998780,91359,31005190,84203
